id,PK,PKINT,LABEL,BEGIN_DAT,ABW_BEHANDLUNG,KAPAZITAET,long,lat
169,Mar-58,ATTP_3-58,ARA Emmersdorf,1/1/2022,CNP,3000,15.35271364,48.25032134
170,3-286,ATTP_3-286,ARA Yspertal,1/1/2022,CNP,3500,15.05983569,48.27725627
180,3-157,ATTP_3-157,ARA Rabensburg,1/1/2022,CNP,2000,16.90894799,48.64184647
182,3-154,ATTP_3-154,ARA Wildendürnbach,1/1/2022,CNP,2200,16.48768869,48.75561122
183,3-385,ATTP_3-385,ARA Bockfliess,1/1/2022,CNP,2500,16.59973293,48.35727439
187,3-387,ATTP_3-387,ARA Großharras,1/1/2022,CNP,3700,16.25251283,48.66824718
191,3-391,ATTP_3-391,ARA Wilfersdorf,1/1/2022,CNP,4500,16.69798836,48.6005346
202,3-189,ATTP_3-189,ARA Wasser- und AV Münchendorf,1/1/2022,CNP,4700,16.39300429,48.03979725
214,3-114,ATTP_3-114,ARA Lackenhof,1/1/2022,CNP,2000,15.1387964,47.87166836
215,Mar-87,ATTP_3-87,ARA Oberndorf an der Melk,1/1/2022,CNP,2500,15.21808515,48.07126095
216,Mar-80,ATTP_3-80,ARA Lunz am See,1/1/2022,CNP,2800,15.02097226,47.85532367
217,15-Mar,ATTP_3-15,ARA Gresten,1/1/2022,CNP,4600,15.02162212,47.99180234
223,3-804,ATTP_3-804,ARA Frankenfels,1/1/2022,CNP,2600,15.3480502,47.98705485
224,Mar-42,ATTP_3-42,ARA Pyhra,1/1/2022,CNP,4000,15.69562302,48.16021093
236,3-437,ATTP_3-437,ARA Thaya,1/1/2022,CNP,2000,15.29256739,48.85470532
238,3-436,ATTP_3-436,ARA Raabs an der Thaya,1/1/2022,CNP,2900,15.49983015,48.84109007
242,3-130,ATTP_3-130,ARA Waidhofen an der Ybbs,1/1/2022,CNP,16000,14.75964451,47.97151835
243,Mar-37,ATTP_3-37,ARA Moosbrunn,1/1/2022,CNP,3000,16.46981293,48.01774212
256,3-457,ATTP_3-457,ARA Schwarzenau,1/1/2022,CNP,2000,15.26609772,48.7481174
258,3-708,ATTP_3-708,ARA GAV Krumau - Pölla,1/1/2022,CNP,3100,15.49912496,48.61239586
259,3-453,ATTP_3-453,ARA Groß Gerungs,1/1/2022,CNP,4800,14.97054742,48.57338337
261,3-458,ATTP_3-458,ARA Zwettl,1/1/2022,CNP,40000,15.18463519,48.61267522
322,4-41208001,ATTP_4-41208001,Gurten,1/1/2022,CNP,2500,13.33530195,48.25362129
324,4-41215002,ATTP_4-41215002,Mettmach,1/1/2022,CNP,3750,13.33743883,48.18710853
332,4-41321001,ATTP_4-41321001,Neufelden,1/1/2022,CNP,2500,13.9995461,48.4789714
347,4-41413001,ATTP_4-41413001,Münzkirchen,1/1/2022,CNP,4350,13.57634474,48.49097801
414,6-M3617275R0,ATTP_6-M3617275R0,Thörl,1/1/2022,CNP,4950,15.22104902,47.51271062
457,6-M3381017R0,ATTP_6-M3381017R0,Unzmarkt,1/1/2022,CNP,2100,14.45352317,47.2070134
466,6-M3281650R0,ATTP_6-M3281650R0,Grossklein,1/1/2022,CNP,2400,15.44145659,46.74549038
477,6-M3450591R0,ATTP_6-M3450591R0,Lang,1/1/2022,CNP,2100,15.49582433,46.83805567
478,6-M3426736R0,ATTP_6-M3426736R0,Mautern,1/1/2022,CNP,4000,14.84537832,47.39545826
485,6-M3256159R0,ATTP_6-M3256159R0,Donnersbachwald,1/1/2022,CNP,2000,14.1248469,47.40733647
491,6-M3720167R0,ATTP_6-M3720167R0,Aich-Assach,1/1/2022,CNP,3500,13.84639765,47.42397345
510,6-M3218952R0,ATTP_6-M3218952R0,St.Blasen,1/1/2022,CNP,3000,14.33710064,47.10614292
518,6-M3725339R0,ATTP_6-M3725339R0,Kapfenstein,1/1/2022,CNP,2000,15.99446502,46.85237146
521,6-M3403767R0,ATTP_6-M3403767R0,Marktgemeinde St. Anna am Aigen,1/1/2022,CNP,2200,15.97083304,46.81349664
545,6-M3702105R0,ATTP_6-M3702105R0,St.Margarethen an der Raab,1/1/2022,CNP,3500,15.75517401,47.03732504
592,7-7705705,ATTP_7-7705705,Assling,1/1/2022,CNP,4200,12.68465501,46.78542055
604,8-Raggal,ATTP_8-Raggal,Raggal,1/1/2022,CNP,3750,9.840700037,47.21895267
605,8-Sonntag,ATTP_8-Sonntag,Sonntag,1/1/2022,CNP,4500,9.905915035,47.23700463
609,8-Schroecken,ATTP_8-Schroecken,Schröcken,1/1/2022,CNP,2500,10.08044267,47.26053076
610,8-Langenegg,ATTP_8-Langenegg,Langenegg,1/1/2022,CNP,3175,9.878193524,47.46122696
611,8-Hittisau,ATTP_8-Hittisau,Hittisau,1/1/2022,CNP,3833,9.962046415,47.46326737
612,8-Schwarzenberg,ATTP_8-Schwarzenberg,Schwarzenberg,1/1/2022,CNP,4000,9.862195858,47.41926786
613,8-Lingenau,ATTP_8-Lingenau,Lingenau,1/1/2022,CNP,4725,9.897769234,47.4501316
614,8-Damuels,ATTP_8-Damuels,Damüls,1/1/2022,CNP,4920,9.89478691,47.28073693
627,8-Laterns,ATTP_8-Laterns,Laterns,1/1/2022,CNP,4500,9.729420986,47.25720415
118,3-166,ATTP_3-166,ARA GAV Kleinharraserbach,1/1/2022,CP,6000,16.62274067,48.45918295
133,Mar-91,ATTP_3-91,ARA GAV Retzbach - Retz,1/1/2022,CP,5900,16.02998365,48.74129364
139,3-347,ATTP_3-347,ARA GAV Haugsdorf-Pernersdorf,1/1/2022,CP,12000,16.08579149,48.70590703
146,3-322,ATTP_3-322,ARA Gars am Kamp,1/1/2022,CP,7000,15.65733036,48.59019337
173,Mar-45,ATTP_3-45,ARA Loosdorf,1/1/2022,CP,7050,15.39052497,48.21032434
175,3-Mar,ATTP_3-3,ARA Melk,1/1/2022,CP,14000,15.33504912,48.23501515
178,Mar-51,ATTP_3-51,ARA GV Abwasserbeseitigung Raum Pöchlarn,1/1/2022,CP,25000,15.26245646,48.21476357
246,Mar-49,ATTP_3-49,ARA Himberg,1/1/2022,CP,20000,16.44031974,48.09171793
257,3-455,ATTP_3-455,ARA Martinsberg,1/1/2022,CP,2500,15.15513479,48.37368397
